Index	Name	Author	FileName	Tags	Dependencies	URL
0	--------------------------->             01 Libraries & Frameworks	Saigofu	Guidelines for Load Order - Libraries &amp; Frameworks_92f5956c-2030-472e-9c6f-60f4a9fb598e.pak			
1	ImpUI_P8_Fork	bibsan (prev. Djmr / AlanaSP / ShinyHobo / Zee)	ImpUI_P8_Fork_26922ba9-6018-5252-075d-7ff2ba6ed879.pak		GustavDev	
2	--------------------------->             02 Single-purpose SE mods	Saigofu	Guidelines for Load Order - Single-purpose SE mods_4f5fc4c5-cfdc-4f21-abe3-b3526785a3c7.pak			
3	Traders Drop All Loot	venomus_pool	traderdropallloot_887688c7-6db-9aff.pak		GustavDev, GustavX	
4	Ersatz Eye Enhanced	Eleglas	Ersatz_Eye_Enhanced_3c614b0d-a904-808a-4390-99836397d0d8.pak		GustavDev	
5	ClubofHillGiantStrength1	Kukoldun	clubofhillgiantstrength1_e5f0b-7bre.pak		GustavDev	
6	Warped Headband of Intellect 18	Kukolun	headbandofintellect1_8703f048-1v32.pak		GustavDev	
7	PixellBytes' Adjustable Party Limit	PixellBytes	configurablepartylimit_33c1de8-bwds.pak		GustavDev, GustavX	
8	CBR_Endgame_Kiss	Cerberry	CBR_Endgame_Kiss_f49b26d0-038f-4a4c-879e-d3444430f0ec.pak			
9	CBR_Kisses	Cerberry, Moxi	CBR_Romance_880a9d7f-9f2a-4448-8f49-7c9a2f9f40b8.pak			
10	--------------------------->             03 Actions	Saigofu	Guidelines for Load Order - Actions_fc1ea0db-ac09-445b-8d1c-da101023145a.pak			
11	--------------------------->             04 Adult	Saigofu	Guidelines for Load Order - Adult_1eb317e4-723c-4206-8859-67daa5d3cc56.pak			
12	--------------------------->             05 Items	Saigofu	Guidelines for Load Order - Items_f91a6d6d-453e-48b0-95ef-30fac51e98e2.pak			
13	Weightless Consumables	Belinn	weightlessconsumables_1d582ce5-bl3x.pak		GustavDev	
14	Infinite Consumables	Belinn	InfiniteConsumables_87da3e80-18f8-4a9b-8a75-f4fc1ac08903.pak			
15	Astarion's Alternative Starting Armor (Replacer)	Kascayde	AstarionsStarterArmorAlt_08eb0e2d-2496-4175-b0f1-253d47830a37.pak			
16	[Aza] Better Starting Gear (Gale)	AzazeL	Aza_BSG_Gale.pak			
17	[Aza] Better Starting Gear (Lae'zel) + Tutorial Chest 	AzazeL	Aza_Laezel_BSGv2_TutorialCampChest.pak		GustavDev	
18	[Aza] Better Starting Gear: Wyll	AzazeL	Aza_BSG_Wyll_70287851-85c4-2882-b065-5b6a14351e0f.pak		GustavX	
19	Aardi's Chest of Presents	Aardi	Aardi_ChestofPresents_08aaab4b-03b9-5dc1-bbc7-cdd80ff2084e.pak		GustavX	
20	AgileArmor	OnigiriSAN	AgileArmor_e4ee55aa-1b75-43e4-a640-7096a1cc5e44.pak			
21	AYU_Aion2_SilverBellFairy	Ayuro	AYU_Aion2_SilverBellFairy_4badd69d-2be8-436e-8124-3c65776e5fcf.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
22	AYU_BDO_Coco-Nutty	Ayuro	AYU_BDO_Coco-Nutty_8a5531fc-284f-72d9-806e-5b6e2bbdc9ac.pak		GustavX	
23	AYU_BDO_Hemomancer		AYU_BDO_Hemomancer_46a69b85-654c-d1f7-7f8b-6b415fd855e6.pak		GustavX	
24	AYU_BDO_Lilien	Ayuro	AYU_BDO_Lilien_a4fd42f1-641e-484d-9133-4e48d3234fb8.pak		GustavX	
25	AYU_BDO_ShellBelle	Ayuro	AYU_BDO_ShellBelle_62c7a209-1819-e0fb-31c4-18ad6c7b1cc0.pak			
26	AYU_LA_DarkReaper	Ayuro	AYU_LA_DarkReaper_679cc608-9314-488b-a32c-06734be1fe0e.pak		GustavX	
27	AYU_TAL_DeathsShadow	Ayuro	AYU_TAL_DeathsShadow_a8088347-5832-4ce0-9ac9-84a0b59d739a.pak		GustavX	
28	AYU_VAMPIR_Apostasy	Ayuro	AYU_VAMPIR_Apostasy_a93fa5d5-1392-46e5-bc00-1d4554bff7e1.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
29	AYU_VAMPIR_BloodHunt	Ayuro	AYU_VAMPIR_BatQueen_14c2d499-7387-40e8-829d-1bf9be585ab0.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
30	AYU_VAMPIR_ChainedVampire	Ayuro	AYU_VAMPIR_ChainedVampire_927e457b-6b89-4e5e-b054-bba3608bb589.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
31	AYU_VIND_Succubus	Ayuro	AYU_VIND_Succubus_ca30e45f-c9f2-44fb-9045-80e7af85a683.pak		GustavX	
32	F_NoAI_Selection	KaNut	F_NoAI_Selection.pak		GustavX	
33	♡ Akoana Leathers [Commission] ♡	Moon Blossom [TsukiTuzi]	MB0CAko_235a2ecf-0b86-4919-bada-a79169d78225.pak			
34	♡ Ellie's Battle Chain [Commission] ♡	Moon Blossom [TsukiTuzi]	MBCOMSKIP_29cd4037-fe55-4910-892b-a784fbdc906e.pak			
35	Boots of the Fiendish Saviour - Raphael's EA Boots	Nikjima	FiendishSaviourBoots_add6b951-3a80-8bd4-6387-29e811c68916.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
36	BDS Evelyn's Circlet	Beaned Sprout	BDS_Evelyn_Circlet_8bcc6905-9528-66f6-2a85-e85ffc40f2fc.pak		GustavDev	
37	BDS Moonlit Circlet	Beaned Sprout	bds_moonlit_circlet_adb83b60-6-exvn.pak		GustavDev, GustavX	
38	BDS Raven Assassin	Beaed Sprout	BDS_Raven_Assassin.pak		GustavX	
39	BW_ACS_Aveline_Set	badwitch69	BW_ACS_Aveline_Set_059ae5ac-970a-88b4-938d-84759a127475.pak			
40	BW_Shaders	badwitch69	BW_Shaders_ecc3b91c-21df-2886-d4f4-11154c821d4e.pak			
41	BW_FF_Roseblood	badwitch69	BW_FF_Roseblood_f9d0925c-c57d-b53f-5a88-0f9e301a2067.pak		BW_Shaders	
42	BW_FF_Vincent_Set	badwitch69	BW_FF_Vincent_Set_0e467b48-35f1-9c91-ac8c-f724be0b4ad7.pak			
43	BW_Pino_Drip_CC	badwitch69	BW_Pino_Drip_CC_5ba57978-7b9c-f36a-e106-6196155fc2c6.pak			
44	BW_PK_TAL_Staves_Pack_Part_I	badwitch69, PseudoKociara	BW_PK_TAL_Staves_Pack_3299cd4f-7ec6-e28b-6c7d-535eb06a50ab.pak			
45	BW_BDO_Cartian	badwitch69	BW_BDO_Cartian_742635e9-9513-1ea8-b4d2-15fb4eadaa9e.pak			
46	BW_BDO_Nereid	badwitch69	BW_BDO_Nereid_904b2960-9d59-6004-becf-8ae4be3f1d42.pak			
47	BW_BDO_Nightveil	badwitch69	BW_BDO_Nightveil_6bfee1f7-5e7c-4b97-2a32-13118eeb5dae.pak			
48	BW_Bhaalist_Armor_Set	badwitch69	BW_Bhaalist_Armor_Set_c4b91362-a425-c4ca-5dea-196d9ac99090.pak			
49	BW_FF_Duskwalker_Attire	badwitch69	BW_FF_Duskwalker_Attire_5d5615b2-7b80-6555-5cd4-38d08e705230.pak			
50	BW_LA_Deathbringer_Set	badwitch69	BW_LA_Deathbringer_Set_1c3812d0-3342-a7f3-e426-5d5add51bc25.pak			
51	BW_LA_Elegant_Warlock_Set	badwitch69	BW_LA_Elegant_Warlock_Set_8c96fe5d-6822-10e5-755f-a8b892255302.pak			
52	BW_LA_Pirate_King	badwitch69	BW_LA_Pirate_King_93bfea98-78c4-e7ef-a519-b778b5ca84c7.pak			
53	BW_Liliths_Armors	badwitch69	BW_Liliths_Armors_f6aee620-3379-ce64-a475-709167607c69.pak		GustavDev	
54	BW_Lovely_Dresses	badwitch69	BW_Lovely_Dresses_4cecbeb1-b06d-2260-3f03-05123555a26f.pak		GustavDev	
55	BW_Midnight_Huntress	badwitch69	BW_Midnight_Huntress_f3b79261-4039-bcc5-44e8-a71ade0e3f32.pak			
56	BW_MK_Nitara	badwitch69	BW_MK_Nitara_9d4d7e96-f30c-e28c-e8ee-b995627cd8ef.pak			
57	BW_MK_Sindel	badwitch69	BW_MK_Sindel_5012883e-a828-ec67-77bd-4d7c4abb5ada.pak			
58	BW_Odette	badwitch69	BW_Odette_68f0b180-3e11-0470-5e59-fb5929800de8.pak			
59	BW_OVR_Aurvandill	badwitch69	BW_OVR_Aurvandill_0d8da408-44f9-0a22-2d0e-a07c2119c71c.pak			
60	BW_OVR_Rogue_Set	badwitch69	BW_OVR_Rogue_Set_8a651a58-763a-748c-60c3-6c13fb793d95.pak			
61	BW_OVR_Shield_Maiden	badwitch69	BW_OVR_Shield_Maiden_15125198-dfd2-1bda-7e62-6ccb971f96fa.pak			
62	BW_Poster_Boy	badwitch29	BW_Poster_Boy_0d54e9b4-3445-0226-6380-842f65d99d27.pak			
63	BW_Saint_of_Decadence	badwitch69	BW_Saint_of_Decadence_62a000e4-f0e9-e029-79fc-6f8e8486fe0a.pak			
64	BW_TaL_Abyssal_Dominion	badwitch69	BW_TaL_Abyssal_Dominion_862c36c8-4184-0f72-dbcc-55030e7e89af.pak			
65	BW_TaL_Delicate_Weapon	badwitch69	BW_TaL_Delicate_Weapon_908eb4c4-4351-5dff-71ed-73f5c80f16ff.pak			
66	BW TaL Longsword Collection	badwitch69	BW_TaL_Longswords_Collection_f337d2dc-5a17-4dc4-a913-e21a3760687d.pak			
67	BW_TaL_Midnight_Rose	badwitch69	BW_TaL_Midnight_Rose_9b39894e-ba0f-3393-6fe5-986bdf31a90e.pak			
68	BW_TaL_Outlaw	badwitch69	BW_TaL_Outlaw_419e287f-ee2d-4c0f-5a7a-9987930cbd9f.pak			
69	BW_Umbral_Predator	badwitch69	BW_Umbral_Predator_b7e0341b-f6de-77cc-288a-12be06d553bf.pak		BW_Shaders	
70	BW_Velvet_Recluse	badwitch69	BW_Velvet_Recluse_d26ec366-ac19-88d7-b362-e0887a87fee3.pak			
71	CBR_Astarion_Gear	Cerberry	CBR_Astarion_Gear_88472061-89a9-43b7-91d6-651e6005f738.pak			
72	CBR_BanditArmors	Cerberry	CBR_BanditArmors_f17c9dc9-86cc-4bdf-87d1-e67568568c69.pak			
73	CBR_Battlemage	Cerberry	CBR_Battlemage_47929a1a-0d1d-4400-abbf-853cbaeaf5d8.pak			
74	CBR_Pirates_Rebels	Cerberry	CBR_Pirates_Rebels_c845e560-7752-4c8e-ba87-90955e78b9e3.pak			
75	CL_Dastardly Accoutrements - Rogue Gear	copperleaves	CL_Dastardly Accoutrements - Rogue Gear.pak		GustavDev, GustavX	
76	Critical Hit	Luminiari	Luminiari_CriticalHit_d8c1e10d-22d4-16e5-f3f7-8224586fbbf6.pak		GustavX	
77	Dark Urge - Slayer Equipments and Spells	Skirbie	helloworld_391f8c7c-d49d-ee1c-30a4-b077843ac94b.pak		GustavDev, GustavX	
78	Daughter of the Grove Set ✧	Moon Blossom [TsukiTuzi]	MB0DOTG_c5a10546-e3b8-4433-be74-5bfd3fc806aa.pak			
79	Deepspace Rings	Askew	LaDSRings_7d6570fd-6c74-4086-9e41-0a0483c4e55d.pak			
80	Doom Armor - Main file	Akumu	DOOM_cc28f2b3-31bf-4658-aa63-48fbc41a47c2.pak			
81	Ember's Enchanted Instruments - Lutes	Ariefel	EnchantedLutes_1fa5635b-d2d9-a787-de32-38ad8b05ef2f.pak		GustavX	
82	Empress Gown	Askew	EmpressGown_72f81e61-a5e5-4e8f-aa52-8ffd15c73523.pak			
83	Eternal Queen Set	Skirbie	qmdrss_01296564-0f8a-19b0-e639-6kla.pak		GustavX	
84	Fearless Butterfly	Luminiari	Luminiari_FearlessButterfly_ee4da7f6-c7db-2f10-4f53-1724f445dae7.pak		GustavX	
85	Faerun_Feather_Venture	KaNut	F_Feather_Venture_1.0.0.41.pak		GustavX	
86	Queen's Garments	Skirbie	eqlngerie_7b25c953-f727-cab3-3-dolz.pak		GustavX	
87	Hedonistic Debauchery Vol. II	Kascayde	HedonisticDebaucheryVol2_0dec503f-9dfe-45ba-a799-8ecc9f3ace77.pak			
88	Hunter's Outfit	Salazryn	HuntersOutfit_1cb660a7-432c-4e5f-bea8-80d4b790c330.pak			
89	Knights and Dames	Aardi	Aardi_KnightsandDames_194a7429-5b34-7d68-06ee-494607e165e4.pak		MainUI, ModBrowser, CrossplayUI, DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, PhotoMode, Gustav	
90	Lady of Space and Time - Ciri's alternative outfit	yonhi	CiriAlternative_f1008616-43ee-9264-fa97-7a9451864334.pak		GustavX	
91	ModularCiri	wesslen	ModularCiri_8d728345-dd5b-49f7-aaf8-f4a08733b243.pak			
92	ModularEquipment	wesslen	ModularEquipment_7ddddd0f-6b71-4565-bbd1-a7183ae90d04.pak			
93	More Mage Gear	pooteeweet	PTW_Sorcerer_94fed047-7d79-41e3-9d1c-1a3b3de781e4.pak			
94	Myky's Accessories	myky	Myky's Accessories.pak		GustavX	
95	Ninja Girl + Deathbringer Assault Sai	Skirbie	NJNgrl_69163b1b-04cc-35e0-6d01-2644db829a0d.pak		GustavX	
96	OBSC_Arethel	Obscen1ty	OBSC_Arethel_7e6cd3d2-158e-4c20-b2a1-742bad261083.pak			
97	OBSC_Karlstein	Obscen1ty	OBSC_Karlstein_f64e99c9-2b4f-4a8c-8041-80ec063af2b2.pak			
98	OBSC_Khamsin	Obscen1ty	OBSC_Khamsin_93d8a317-5158-4dd4-a638-788c85fa652d.pak			
99	OBSC_Khamsin_Revamped	Obscen1ty	OBSC_Khamsin_Revamped_14b42b2e-835b-4656-bc87-b14db206434a.pak			
100	OBSC_Larnaka	Obscen1ty	OBSC_Larnaka_397410d1-ac8f-46c2-ad0e-ee0b0fd742b9.pak			
101	OBSC_Orzeca_Rose	Obscen1ty	OBSC_Orzeca_Rose_a9cf7bd6-ec72-49a7-9820-69dd25c3cc48.pak			
102	OBSC_Phantom_of_Ruins	Obscen1ty	OBSC_Phantom_of_Ruins_5ff46e0f-3deb-407f-b378-1e06ef5bbf90.pak			
103	OBSC_Secrua	Obscen1ty	OBSC_Secrua_b850a85c-bee6-4e6c-8183-6ac495b47981.pak			
104	OBSC_Secrua_Revamped	Obscen1ty	OBSC_Secrua_Revamped_6d7ff752-4257-43f7-8866-1b9ebc8b1afe.pak			
105	OBSC_Secrua_Weapons	Obscen1ty	OBSC_Secrua_Weapons_6b814f57-ddc9-4c6e-9cec-2c2607429bd3.pak			
