Index	Name	Author	FileName	Tags	Dependencies	URL
0	ImpUI_P8_Fork	bibsan	Impui P8 Fork 26922ba9-6018-5252-075d-7ff2ba6ed879.pak		GustavDev	
1	BCPP_16x9_6chars	Caites	Bcpp 16x9 6chars 6251de75-B041-E761-C329-B3fdc23a2da8.pak		ImpUI (ImprovedUI)	
2	Better Combat Log 2	Caites	Bettercombatlog85scale 63dc902e-90eb-7bb8-1e88-831caad5144a.pak		ImpUI (ImprovedUI)	
3	Better Containers 8x9 86	Caites	Bettercontainerseightninees 0349d757-F9f0-0eec-16a0-Ae1e79da299e.pak			
4	Better Dyeing	Caites	Betterdyeing 03b0b84a-2689-77c2-5ef6-Ebcf88b88037.pak			
5	Better Hotbar 2 16 9 6x33 75	Caites	Betterhotbar2onesixninefive 3c49168c-Cd84-1d30-689d-1abb9b060fb7.pak		ImpUI (ImprovedUI)	
6	Better Map	Caites	Bettermap 02ffe10e-Ac53-8877-A3d5-3098fdbb8f5b.pak		ImpUI (ImprovedUI)	
7	Better Split Item	Caites	Bettersplititem 76e493c7-D7f4-217f-2a3e-61e17c61dedf.pak		GustavDev	
8	Better Target Info	Caites	Bettertargetinfo 1186f940-7338-Fe24-6649-Aff698541b7f.pak		ImpUI (ImprovedUI)	
9	Better Topbar	Caites	Bettertopbar D9582df8-6eef-A756-117f-965e22007ff6.pak		ImpUI (ImprovedUI)	
10	Heavy Weapons RAW 5.5e	MaxStrengthWizard	HWRAW5R_c2280d10-1be4-420c-9cf6-285d1e5d27a4.pak			
11	Better Tooltips for Heavy Weapons RAW	Caites juumeijin MaxStrengthWizard	Bettertooltipsheavy 4bf2fe07-C5b6-Bdf9-Fd1c-Dff83851dcc8.pak			
12	Better Various Widgets	Caites	Bettervariouswidgets 2f8f216d-Dd2a-7731-Cf1e-9d6bae9eb04a.pak			
13	CPCCE	Caites	Cpcce A2f25ffd-0c2f-4673-Ad5d-Bbe783e95564.pak		ImpUI (ImprovedUI)	
14	Damage Preview	Caites & Noxis	Damagepreview 0e6b886d-C51f-75fb-F9bd-Cf9c0c363c5b.pak		ImpUI (ImprovedUI)	
15	Better Inventory UI	Caites	Betterinventoryui 6b585be8-Ed73-7347-2c58-73146e22b7d4.pak			
16	AddonBetterInventoryUI	Caites	Addonbetterinventoryui 8c7d3408-A746-5022-348b-1635e14af044.pak			
